,New (Shinjitai),Radical,Strokes,Grade,English meaning,Readings
1406,恣,心,10,S,selfish,"シ
shi"
1407,脂,肉,10,S,fat,"シ、あぶら
shi, abura"
1408,紫,糸,12,S,purple,"シ、むらさき
shi, murasaki"
1409,嗣,口,13,S,heir,"シ
shi"
1410,雌,隹,14,S,feminine,"シ、め、めす
shi, me, mesu"
1411,摯,手,15,S,seriousness,"シ
shi"
1412,賜,貝,15,S,grant,"シ、たまわ-る
shi, tamawa-ru"
1413,諮,言,16,S,consult with,"シ、はか-る
shi, haka-ru"
1414,侍,人,8,S,waiter,"ジ、さむらい
ji, samurai"
1415,滋,水,12,S,nourishing,"ジ
ji"
1416,慈,心,13,S,mercy,"ジ、いつく-しむ
ji, itsuku-shimu"
1417,餌 [8],食,15,S,bait,"ジ、えさ、え
ji, esa, e"
1418,璽,玉,19,S,emperor's seal,"ジ
ji"
1419,鹿,鹿,11,S,deer,"しか、（か）
shika, (ka)"
1420,軸,車,12,S,axis,"ジク
jiku"
1421,𠮟 [5],口,5,S,scold,"シツ、しか-る
shitsu, shika-ru"
1422,疾,疒,10,S,rapidly,"シツ
shitsu"
1423,執,土,11,S,tenacious,"シツ、シュウ、と-る
shitsu, shū, to-ru"
1424,湿,水,12,S,damp,"シツ、しめ-る、しめ-す
shitsu, shime-ru, shime-su"
1425,嫉,女,13,S,envy,"シツ
shitsu"
1426,漆,水,14,S,lacquer,"シツ、うるし
shitsu, urushi"
1427,芝,艸,6,S,turf,"しば
shiba"
1428,赦,赤,11,S,pardon,"シャ
sha"
1429,斜,斗,11,S,diagonal,"シャ、なな-め
sha, nana-me"
1430,煮,火,12,S,boil,"シャ、に-る、に-える、に-やす
sha, ni-ru, ni-eru, ni-yasu"
1431,遮,辵,14,S,intercept,"シャ、さえぎ-る
sha, saegi-ru"
1432,邪,邑,8,S,wicked,"ジャ
ja"
1433,蛇,虫,11,S,snake,"ジャ、ダ、へび
ja, da, hebi"
1434,酌,酉,10,S,bartending,"シャク、く-む
shaku, ku-mu"
1435,釈,釆,11,S,explanation,"シャク
shaku"
1436,爵,爪,17,S,baron,"シャク
shaku"
1437,寂,宀,11,S,loneliness,"ジャク、（セキ）、さび、さび-しい、さび-れる
jaku, (seki), sabi, sabi-shii, sabi-reru"
1438,朱,木,6,S,vermilion,"シュ
shu"
1439,狩,犬,9,S,hunt,"シュ、か-る、か-り
shu, ka-ru, ka-ri"
1440,殊,歹,10,S,particularly,"シュ、こと
shu, koto"
1441,珠,玉,10,S,pearl,"シュ
shu"
1442,腫,肉,13,S,tumor,"シュ、は-れる、は-らす
shu, ha-reru, ha-rasu"
1443,趣,走,15,S,gist,"シュ、おもむき
shu, omomuki"
1444,寿,士,7,S,longevity,"ジュ、ことぶき
ju, kotobuki"
1445,呪,口,8,S,curse,"ジュ、のろ-う
ju, noro-u"
1446,需,雨,14,S,demand,"ジュ
ju"
1447,儒,人,16,S,Confucian,"ジュ
ju"
1448,囚,囗,5,S,captured,"シュウ
shū"
1449,舟,舟,6,S,boat,"シュウ、ふね、（ふな）
shū, fune, (funa)"
1450,秀,禾,7,S,excel,"シュウ、ひい-でる
shū, hii-deru"
1451,臭,自,9,S,stinking,"シュウ、くさ-い、にお-う
shū, kusa-i, nio-u"
1452,袖,衣,10,S,sleeve,"シュウ、そで
shū, sode"
1453,羞,羊,11,S,feel ashamed,"シュウ
shū"
1454,愁,心,13,S,distress,"シュウ、うれ-える、うれ-い
shū, ure-eru, ure-i"
1455,酬,酉,13,S,repay,"シュウ
shū"
1456,醜,酉,17,S,ugly,"シュウ、みにく-い
shū, miniku-i"
1457,蹴,足,19,S,kick,"シュウ、け-る
shū, ke-ru"
1458,襲,衣,22,S,attack,"シュウ、おそ-う
shū, oso-u"
1459,汁,水,5,S,soup,"ジュウ、しる
jū, shiru"
1460,充,儿,6,S,allot,"ジュウ、あ-てる
jū, a-teru"
1461,柔,木,9,S,tender,"ジュウ、ニュウ、やわ-らか、やわ-らかい
jū, nyū, yawa-raka, yawa-rakai"
1462,渋,水,11,S,astringent,"ジュウ、しぶ、しぶ-い、しぶ-る
jū, shibu, shibu-i, shibu-ru"
1463,銃,金,14,S,gun,"ジュウ
jū"
1464,獣,犬,16,S,animal,"ジュウ、けもの
jū, kemono"
1465,叔,又,8,S,uncle,"シュク
shuku"
1466,淑,水,11,S,graceful,"シュク
shuku"
1467,粛,聿,11,S,solemn,"シュク
shuku"
1468,塾,土,14,S,cram school,"ジュク
juku"
1469,俊,人,9,S,genius,"シュン
shun"
1470,瞬,目,18,S,wink,"シュン、またた-く
shun, matata-ku"
1471,旬,日,6,S,10-day period (of the month),"ジュン、（シュン）
jun, (shun)"
1472,巡,巛,6,S,patrol,"ジュン、めぐ-る
jun, megu-ru"
1473,盾,目,9,S,shield,"ジュン、たて
jun, tate"
1474,准,冫,10,S,quasi-,"ジュン
jun"
1475,殉,歹,10,S,martyrdom,"ジュン
jun"
1476,循,彳,12,S,sequential,"ジュン
jun"
1477,潤,水,15,S,wet,"ジュン、うるお-う、うるお-す、うる-む
jun, uruo-u, uruo-su, uru-mu"
1478,遵,辵,15,S,abide by,"ジュン
jun"
1479,庶,广,11,S,commoner,"ショ
sho"
1480,緒,糸,14,S,thong,"ショ、（チョ）、お
sho, (cho), o"
1481,如,女,6,S,likeness,"ジョ、ニョ
jo, nyo"
1482,叙,攴,9,S,confer,"ジョ
jo"
1483,徐,彳,10,S,gradually,"ジョ
jo"
1484,升,十,4,S,measuring box,"ショウ、ます
shō, masu"
1485,召,口,5,S,summon,"ショウ、め-す
shō, me-su"
1486,匠,匚,6,S,artisan,"ショウ
shō"
1487,床,广,7,S,bed,"ショウ、とこ、ゆか
shō, toko, yuka"
1488,抄,手,7,S,extract,"ショウ
shō"
1489,肖,肉,7,S,resemblance,"ショウ
shō"
1490,尚,小,8,S,esteem,"ショウ
shō"
1491,昇,日,8,S,rise up,"ショウ、のぼ-る
shō, nobo-ru"
1492,沼,水,8,S,marsh,"ショウ、ぬま
shō, numa"
1493,宵,宀,10,S,wee hours,"ショウ、よい
shō, yoi"
1494,症,疒,10,S,symptoms,"ショウ
shō"
1495,祥,示,10,S,auspicious,"ショウ
shō"
1496,称,禾,10,S,appellation,"ショウ
shō"
1497,渉,水,11,S,ford,"ショウ
shō"
1498,紹,糸,11,S,introduce,"ショウ
shō"
1499,訟,言,11,S,sue,"ショウ
shō"
1500,掌,手,12,S,manipulate,"ショウ
shō"
1501,晶,日,12,S,sparkle,"ショウ
shō"
1502,焦,火,12,S,char,"ショウ、こ-げる、こ-がす、こ-がれる、あせ-る
shō, ko-geru, ko-gasu, ko-gareru, ase-ru"
1503,硝,石,12,S,nitrate,"ショウ
shō"
1504,粧,米,12,S,cosmetics,"ショウ
shō"
1505,詔,言,12,S,imperial edict,"ショウ、みことのり
shō, mikotonori"
1506,奨,大,13,S,exhort,"ショウ
shō"
1507,詳,言,13,S,detailed,"ショウ、くわ-しい
shō, kuwa-shii"
1508,彰,彡,14,S,patent,"ショウ
shō"
1509,憧,心,15,S,desire,"ショウ、あこが-れる
shō, akoga-reru"
1510,衝,行,15,S,collide,"ショウ
shō"
1511,償,人,17,S,reparation,"ショウ、つぐな-う
shō, tsuguna-u"
1512,礁,石,17,S,reef,"ショウ
shō"
1513,鐘,金,20,S,bell,"ショウ、かね
shō, kane"
1514,丈,一,3,S,length,"ジョウ、たけ
jō, take"
1515,冗,冖,4,S,superfluous,"ジョウ
jō"
1516,浄,水,9,S,clean,"ジョウ
jō"
1517,剰,刀,11,S,surplus,"ジョウ
jō"
1518,畳,田,12,S,tatami mat,"ジョウ、たた-む、たたみ
jō, tata-mu, tatami"
1519,縄,糸,15,S,straw rope,"ジョウ、なわ
jō, nawa"
1520,壌,土,16,S,lot,"ジョウ
jō"
1521,嬢,女,16,S,lass,"ジョウ
jō"
1522,錠,金,16,S,lock,"ジョウ
jō"
1523,譲,言,20,S,defer,"ジョウ、ゆず-る
jō, yuzu-ru"
1524,醸,酉,20,S,brew,"ジョウ、かも-す
jō, kamo-su"
1525,拭,手,9,S,wipe,"ショク、ふ-く、ぬぐ-う
shoku, fu-ku, nugu-u"
1526,殖,歹,12,S,augment,"ショク、ふ-える、ふ-やす
shoku, fu-eru, fu-yasu"
1527,飾,食,13,S,decorate,"ショク、かざ-る
shoku, kaza-ru"
1528,触,角,13,S,contact,"ショク、ふ-れる、さわ-る
shoku, fu-reru, sawa-ru"
1529,嘱,口,15,S,entrust,"ショク
shoku"
1530,辱,辰,10,S,embarrass,"ジョク、はずかし-める
joku, hazukashi-meru"
1531,尻,尸,5,S,buttocks,"しり
shiri"
1532,伸,人,7,S,lengthen,"シン、の-びる、の-ばす、の-べる
shin, no-biru, no-basu, no-beru"
1533,芯,艸,7,S,core,"シン
shin"
1534,辛,辛,7,S,spicy,"シン、から-い
shin, kara-i"
1535,侵,人,9,S,encroach,"シン、おか-す
shin, oka-su"
1536,津,水,9,S,haven,"シン、つ
shin, tsu"
1537,唇,口,10,S,lips,"シン、くちびる
shin, kuchibiru"
1538,娠,女,10,S,with child,"シン
shin"
1539,振,手,10,S,shake,"シン、ふ-る、ふ-るう、ふ-れる
shin, fu-ru, fu-rū, fu-reru"
1540,浸,水,10,S,immersed,"シン、ひた-す、ひた-る
shin, hita-su, hita-ru"
1541,紳,糸,11,S,sire,"シン
shin"
1542,診,言,12,S,checkup,"シン、み-る
shin, mi-ru"
1543,寝,宀,13,S,lie down,"シン、ね-る、ね-かす
shin, ne-ru, ne-kasu"
1544,慎,心,13,S,humility,"シン、つつし-む
shin, tsutsushi-mu"
1545,審,宀,15,S,examine,"シン
shin"
1546,震,雨,15,S,quake,"シン、ふる-う、ふる-える
shin, furu-u, furu-eru"
1547,薪,艸,16,S,fuel,"シン、たきぎ
shin, takigi"
1548,刃,刀,3,S,blade,"ジン、は
jin, ha"
1549,尽,皿,6,S,exhaust,"ジン、つ-くす、つ-きる、つ-かす
jin, tsu-kusu, tsu-kiru, tsu-kasu"
1550,迅,辵,6,S,swift,"ジン
jin"
1551,甚,甘,9,S,tremendously,"ジン、はなは-だ、はなは-だしい
jin, hanaha-da, hanaha-dashii"
1552,陣,阜,10,S,camp,"ジン
jin"
1553,尋,寸,12,S,inquire,"ジン、たず-ねる
jin, tazu-neru"
1554,腎,肉,13,S,kidney,"ジン
jin"
1555,須,頁,12,S,by all means,"ス
su"
1556,吹,口,7,S,blow,"スイ、ふ-く
sui, fu-ku"
1557,炊,火,8,S,cook,"スイ、た-く
sui, ta-ku"
1558,帥,巾,9,S,commander,"スイ
sui"
1559,粋,米,10,S,chic,"スイ、いき
sui, iki"
1560,衰,衣,10,S,decline,"スイ、おとろ-える
sui, otoro-eru"
1561,酔,酉,11,S,drunk,"スイ、よ-う
sui, yo-u"
1562,遂,辵,12,S,consummate,"スイ、と-げる
sui, to-geru"
1563,睡,目,13,S,drowsy,"スイ
sui"
1564,穂,禾,15,S,ear,"スイ、ほ
sui, ho"
1565,随,阜,12,S,follow,"ズイ
zui"
1566,髄,骨,19,S,marrow,"ズイ
zui"
1567,枢,木,8,S,hinge,"スウ
sū"
1568,崇,山,11,S,adore,"スウ
sū"
1569,据,手,11,S,set,"す-える、す-わる
su-eru, su-waru"
1570,杉,木,7,S,cedar,"すぎ
sugi"
1571,裾,衣,13,S,cuff,"すそ
suso"
1572,瀬,水,19,S,rapids,"せ
se"
1573,是,日,9,S,just so,"ゼ
ze"
1574,井,二,4,S,well,"セイ、（ショウ）、い
sei, (shō), i"
1575,姓,女,8,S,surname,"セイ、ショウ
sei, shō"
1576,征,彳,8,S,subjugate,"セイ
sei"
1577,斉,齊,8,S,adjusted,"セイ
sei"
1578,牲,牛,9,S,animal sacrifice,"セイ
sei"
1579,凄,冫,10,S,uncanny,"セイ
sei"
1580,逝,辵,10,S,departed,"セイ、ゆ-く、い-く
sei, yu-ku, i-ku"
1581,婿,女,12,S,bridegroom,"セイ、むこ
sei, muko"
1582,誓,言,14,S,vow,"セイ、ちか-う
sei, chika-u"
1583,請,言,15,S,solicit,"セイ、（シン）、こ-う、う-ける
sei, (shin), ko-u, u-keru"
1584,醒,酉,16,S,be disillusioned,"セイ
sei"
1585,斥,斤,5,S,reject,"セキ
seki"
1586,析,木,8,S,chop,"セキ
seki"
1587,脊,肉,10,S,stature,"セキ
seki"
1588,隻,隹,10,S,vessels,"セキ
seki"
1589,惜,心,11,S,pity,"セキ、お-しい、お-しむ
seki, o-shii, o-shimu"
1590,戚,戈,11,S,grieve,"セキ
seki"
1591,跡,足,13,S,tracks,"セキ、あと
seki, ato"
1592,籍,竹,20,S,enroll,"セキ
seki"
1593,拙,手,8,S,bungling,"セツ、つたな-い
setsu, tsutana-i"
1594,窃,穴,9,S,stealth,"セツ
setsu"
1595,摂,手,13,S,vicarious,"セツ
setsu"
1596,仙,人,5,S,hermit,"セン
sen"
1597,占,卜,5,S,fortune telling,"セン、し-める、うらな-う
sen, shi-meru, urana-u"
1598,扇,戶,10,S,fan,"セン、おうぎ
sen, ōgi"
1599,栓,木,10,S,plug,"セン
sen"
1600,旋,方,11,S,rotation,"セン
sen"
1601,煎 [7],火,13,S,broil,"セン、い-る
sen, i-ru"
1602,羨,羊,13,S,envy,"セン、うらや-む、うらや-ましい
sen, uraya-mu, uraya-mashii"
1603,腺,肉,13,S,gland,"セン
sen"
1604,詮 [7],言,13,S,discussion,"セン
sen"
1605,践,足,13,S,tread,"セン
sen"
1606,箋,竹,14,S,paper,"セン
sen"
1607,潜,水,15,S,submerge,"セン、ひそ-む、もぐ-る
sen, hiso-mu, mogu-ru"
1608,遷,辵,15,S,transition,"セン
sen"
1609,薦,艸,16,S,recommend,"セン、すす-める
sen, susu-meru"
1610,繊,糸,17,S,slender,"セン
sen"
1611,鮮,魚,17,S,fresh,"セン、あざ-やか
sen, aza-yaka"
1612,禅,示,13,S,Zen,"ゼン
zen"
1613,漸,水,14,S,steadily,"ゼン
zen"
1614,膳,肉,16,S,tray,"ゼン
zen"
1615,繕,糸,18,S,darning,"ゼン、つくろ-う
zen, tsukuro-u"
1616,狙,犬,8,S,aim at,"ソ、ねら-う
so, nera-u"
1617,阻,阜,8,S,thwart,"ソ、はば-む
so, haba-mu"
1618,租,禾,10,S,tariff,"ソ
so"
1619,措,手,11,S,set aside,"ソ
so"
1620,粗,米,11,S,coarse,"ソ、あら-い
so, ara-i"
1621,疎,疋,12,S,alienate,"ソ、うと-い、うと-む
so, uto-i, uto-mu"
1622,訴,言,12,S,sue,"ソ、うった-える
so, utta-eru"
1623,塑,土,13,S,model,"ソ
so"
1624,遡 [8],辵,14,S,go upstream,"ソ、さかのぼ-る
so, sakanobo-ru"
1625,礎,石,18,S,cornerstone,"ソ、いしずえ
so, ishizue"
1626,双,隹,4,S,pair,"ソウ、ふた
sō, futa"
1627,壮,士,6,S,robust,"ソウ
sō"
1628,荘,艸,9,S,villa,"ソウ
sō"
1629,捜,手,10,S,search,"ソウ、さが-す
sō, saga-su"
1630,挿,手,10,S,insert,"ソウ、さ-す
sō, sa-su"
1631,桑,木,10,S,mulberry,"ソウ、くわ
sō, kuwa"
1632,掃,手,11,S,sweep,"ソウ、は-く
sō, ha-ku"
1633,曹,曰,11,S,cadet,"ソウ
sō"
1634,曽,曰,11,S,formerly,"ソウ、（ゾ）
sō, (zo)"
1635,爽,爻,11,S,refreshing,"ソウ、さわ-やか
sō, sawa-yaka"
1636,喪,口,12,S,miss,"ソウ、も
sō, mo"
1637,痩,疒,12,S,get thin,"ソウ、や-せる
sō, ya-seru"
1638,葬,艸,12,S,interment,"ソウ、ほうむ-る
sō, hōmu-ru"
1639,僧,人,13,S,Buddhist priest,"ソウ
sō"
1640,遭,辵,14,S,encounter,"ソウ、あ-う
sō, a-u"
1641,槽,木,15,S,vat,"ソウ
sō"
1642,踪,足,15,S,remains,"ソウ
sō"
1643,燥,火,17,S,parch,"ソウ
sō"
1644,霜,雨,17,S,frost,"ソウ、しも
sō, shimo"
1645,騒,馬,18,S,boisterous,"ソウ、さわ-ぐ
sō, sawa-gu"
1646,藻,艸,19,S,seaweed,"ソウ、も
sō, mo"
1647,憎,心,14,S,hate,"ゾウ、にく-む、にく-い、にく-らしい、にく-しみ
zō, niku-mu, niku-i, niku-rashii, niku-shimi"
1648,贈,貝,18,S,presents,"ゾウ、（ソウ）、おく-る
zō, (sō), oku-ru"
1649,即,卩,7,S,instant,"ソク
soku"
1650,促,人,9,S,stimulate,"ソク、うなが-す
soku, unaga-su"
1651,捉,手,10,S,capture,"ソク、とら-える
soku, tora-eru"
1652,俗,人,9,S,vulgar,"ゾク
zoku"
1653,賊,貝,13,S,burglar,"ゾク
zoku"
1654,遜 [8],辵,14,S,humble,"ソン
son"
1655,汰,水,7,S,luxury,"タ
ta"
1656,妥,女,7,S,gentle,"ダ
da"
1657,唾,口,11,S,saliva,"ダ、つば
da, tsuba"
1658,堕,土,12,S,degenerate,"ダ
da"
1659,惰,心,12,S,lazy,"ダ
da"
1660,駄,馬,14,S,burdensome,"ダ
da"
1661,耐,而,9,S,resistant,"タイ、た-える
tai, ta-eru"
1662,怠,心,9,S,neglect,"タイ、おこた-る、なま-ける
tai, okota-ru, nama-keru"
1663,胎,肉,9,S,womb,"タイ
tai"
1664,泰,水,10,S,peaceful,"タイ
tai"
1665,堆,土,11,S,piled high,"タイ
tai"
1666,袋,衣,11,S,sack,"タイ、ふくろ
tai, fukuro"
1667,逮,辵,11,S,apprehend,"タイ
tai"
1668,替,曰,12,S,exchange,"タイ、か-える、か-わる
tai, ka-eru, ka-waru"
1669,滞,水,13,S,stagnate,"タイ、とどこお-る
tai, todokoo-ru"
1670,戴,戈,17,S,be crowned with,"タイ
tai"
1671,滝,水,13,S,waterfall,"たき
taki"
1672,択,手,7,S,choose,"タク
taku"
1673,沢,水,7,S,swamp,"タク、さわ
taku, sawa"
1674,卓,十,8,S,eminent,"タク
taku"
1675,拓,手,8,S,clear (the land),"タク
taku"
1676,託,言,10,S,consign,"タク
taku"
1677,濯,水,17,S,laundry,"タク
taku"
1678,諾,言,15,S,consent,"ダク
daku"
1679,濁,水,16,S,voiced,"ダク、にご-る、にご-す
daku, nigo-ru, nigo-su"
1680,但,人,7,S,however,"ただ-し
tada-shi"
1681,脱,肉,11,S,undress,"ダツ、ぬ-ぐ、ぬ-げる
datsu, nu-gu, nu-geru"
1682,奪,大,14,S,rob,"ダツ、うば-う
datsu, uba-u"
1683,棚,木,12,S,shelf,"たな
tana"
1684,誰,言,15,S,who (question word),"だれ
dare"
1685,丹,丶,4,S,cinnabar,"タン
tan"
1686,旦,日,5,S,daybreak,"タン、ダン
tan, dan"
1687,胆,肉,9,S,gall bladder,"タン
tan"
1688,淡,水,11,S,thin,"タン、あわ-い
tan, awa-i"
1689,嘆,口,13,S,sigh,"タン、なげ-く、なげ-かわしい
tan, nage-ku, nage-kawashii"
1690,端,立,14,S,edge,"タン、はし、は、はた
tan, hashi, ha, hata"
1691,綻,糸,14,S,rip,"タン、ほころ-びる
tan, hokoro-biru"
1692,鍛,金,17,S,forge,"タン、きた-える
tan, kita-eru"
1693,弾,弓,12,S,bullet,"ダン、ひ-く、はず-む、たま
dan, hi-ku, hazu-mu, tama"
1694,壇,土,16,S,podium,"ダン、（タン）
dan, (tan)"
1695,恥,心,10,S,shame,"チ、は-じる、はじ、は-じらう、は-ずかしい
chi, ha-jiru, haji, ha-jirau, ha-zukashii"
1696,致,至,10,S,(to) do,"チ、いた-す
chi, ita-su"
1697,遅,辵,12,S,slow,"チ、おく-れる、おく-らす、おそ-い
chi, oku-reru, oku-rasu, oso-i"
1698,痴,疒,13,S,stupid,"チ
chi"
1699,稚,禾,13,S,immature,"チ
chi"
1700,緻,糸,16,S,fine (not coarse),"チ
chi"
1701,畜,田,10,S,livestock,"チク
chiku"
1702,逐,辵,10,S,pursue,"チク
chiku"
1703,蓄,艸,13,S,amass,"チク、たくわ-える
chiku, takuwa-eru"
1704,秩,禾,10,S,regularity,"チツ
chitsu"
1705,窒,穴,11,S,plug up,"チツ
chitsu"
1706,嫡,女,14,S,legitimate wife,"チャク
chaku"
1707,沖,水,7,S,open sea,"チュウ、おき
chū, oki"
1708,抽,手,8,S,pluck,"チュウ
chū"
1709,衷,衣,10,S,inmost,"チュウ
chū"
1710,酎,酉,10,S,sake,"チュウ
chū"
1711,鋳,金,15,S,casting,"チュウ、い-る
chū, i-ru"
1712,駐,馬,15,S,stop-over,"チュウ
chū"
1713,弔,弓,4,S,condolences,"チョウ、とむら-う
chō, tomura-u"
1714,挑,手,9,S,challenge,"チョウ、いど-む
chō, ido-mu"
1715,彫,彡,11,S,carve,"チョウ、ほ-る
chō, ho-ru"
1716,眺,目,11,S,stare,"チョウ、なが-める
chō, naga-meru"
1717,釣,金,11,S,angling,"チョウ、つ-る
chō, tsu-ru"
1718,貼,貝,12,S,paste,"チョウ、は-る
chō, ha-ru"
1719,超,走,12,S,transcend,"チョウ、こ-える、こ-す
chō, ko-eru, ko-su"
1720,跳,足,13,S,hop,"チョウ、は-ねる、と-ぶ
chō, ha-neru, to-bu"
1721,徴,彳,14,S,indications,"チョウ
chō"
1722,嘲 [7],口,15,S,ridicule,"チョウ、あざけ-る
chō, azake-ru"
1723,澄,水,15,S,lucidity,"チョウ、す-む、す-ます
chō, su-mu, su-masu"
1724,聴,耳,17,S,listen,"チョウ、き-く
chō, ki-ku"
1725,懲,心,18,S,penal,"チョウ、こ-りる、こ-らす、こ-らしめる
chō, ko-riru, ko-rasu, ko-rashimeru"
1726,勅,力,9,S,imperial order,"チョク
choku"
1727,捗 [7],手,10,S,make progress,"チョク
choku"
1728,沈,水,7,S,sink,"チン、しず-む、しず-める
chin, shizu-mu, shizu-meru"
1729,珍,玉,9,S,rare,"チン、めずら-しい
chin, mezura-shii"
1730,朕,月,10,S,majestic plural,"チン
chin"
1731,陳,阜,11,S,exhibit,"チン
chin"
1732,鎮,金,18,S,tranquilize,"チン、しず-める、しず-まる
chin, shizu-meru, shizu-maru"
1733,椎,木,12,S,oak,"ツイ
tsui"
1734,墜,土,15,S,crash,"ツイ
tsui"
1735,塚,土,12,S,hillock,"つか
tsuka"
1736,漬,水,14,S,pickling,"つ-ける、つ-かる
tsu-keru, tsu-karu"
1737,坪,土,8,S,two-mat area,"つぼ
tsubo"
1738,爪,爪,4,S,claw,"つめ、（つま）
tsume, (tsuma)"
1739,鶴,鳥,21,S,crane,"つる
tsuru"
1740,呈,口,7,S,display,"テイ
tei"
1741,廷,廴,7,S,courts,"テイ
tei"
1742,抵,手,8,S,resist,"テイ
tei"
1743,邸,邑,8,S,residence,"テイ
tei"
1744,亭,亠,9,S,pavilion,"テイ
tei"
1745,貞,貝,9,S,upright,"テイ
tei"
1746,帝,巾,9,S,sovereign,"テイ
tei"
1747,訂,言,9,S,revise,"テイ
tei"
1748,逓,辵,10,S,relay,"テイ
tei"
1749,偵,人,11,S,spy,"テイ
tei"
1750,堤,土,12,S,dike,"テイ、つつみ
tei, tsutsumi"
1751,艇,舟,13,S,rowboat,"テイ
tei"
1752,締,糸,15,S,tighten,"テイ、し-まる、し-める
tei, shi-maru, shi-meru"
1753,諦,言,16,S,abandon,"テイ、あきら-める
tei, akira-meru"
1754,泥,水,8,S,mud,"デイ、どろ
dei, doro"
1755,摘,手,14,S,pinch,"テキ、つ-む
teki, tsu-mu"
1756,滴,水,14,S,drip,"テキ、しずく、したた-る
teki, shizuku, shitata-ru"
1757,溺 [7],水,13,S,drown,"デキ、おぼ-れる
deki, obo-reru"
1758,迭,辵,8,S,transfer,"テツ
tetsu"
1759,哲,口,10,S,philosophy,"テツ
tetsu"
1760,徹,彳,15,S,penetrate,"テツ
tetsu"
1761,撤,手,15,S,remove,"テツ
tetsu"
1762,添,水,11,S,annexed,"テン、そ-える、そ-う
ten, so-eru, so-u"
1763,塡 [7],土,13,S,fill in,"テン
ten"
1764,殿,殳,13,S,Mr.,"デン、テン、との、どの
den, ten, tono, dono"
1765,斗,斗,4,S,Big Dipper,"ト
to"
1766,吐,口,6,S,spit,"ト、は-く
to, ha-ku"
1767,妬,女,8,S,jealousy,"ト、ねた-む
to, neta-mu"
1768,途,辵,10,S,route,"ト
to"
1769,渡,水,12,S,transit,"ト、わた-る、わた-す
to, wata-ru, wata-su"
1770,塗,土,13,S,paint,"ト、ぬ-る
to, nu-ru"
1771,賭 [7],貝,16,S,gamble,"ト、か-ける
to, ka-keru"
1772,奴,女,5,S,guy,"ド
do"
1773,怒,心,9,S,angry,"ド、いか-る、おこ-る
do, ika-ru, oko-ru"
1774,到,刀,8,S,arrival,"トウ
tō"
1775,逃,辵,9,S,escape,"トウ、に-げる、に-がす、のが-す、のが-れる
tō, ni-geru, ni-gasu, noga-su, noga-reru"
1776,倒,人,10,S,overthrow,"トウ、たお-れる、たお-す
tō, tao-reru, tao-su"
1777,凍,冫,10,S,frozen,"トウ、こお-る、こご-える
tō, koo-ru, kogo-eru"
1778,唐,口,10,S,T'ang,"トウ、から
tō, kara"
1779,桃,木,10,S,peach tree,"トウ、もも
tō, momo"
1780,透,辵,10,S,transparent,"トウ、す-く、す-かす、す-ける
tō, su-ku, su-kasu, su-keru"
1781,悼,心,11,S,lament,"トウ、いた-む
tō, ita-mu"
1782,盗,皿,11,S,steal,"トウ、ぬす-む
tō, nusu-mu"
1783,陶,阜,11,S,pottery,"トウ
tō"
1784,塔,土,12,S,pagoda,"トウ
tō"
1785,搭,手,12,S,board,"トウ
tō"
1786,棟,木,12,S,ridgepole,"トウ、むね、（むな）
tō, mune, (muna)"
1787,痘,疒,12,S,pox,"トウ
tō"
1788,筒,竹,12,S,cylinder,"トウ、つつ
tō, tsutsu"
1789,稲,禾,14,S,rice plant,"トウ、いね、（いな）
tō, ine, (ina)"
1790,踏,足,15,S,step,"トウ、ふ-む、ふ-まえる
tō, fu-mu, fu-maeru"
1791,謄,言,17,S,mimeograph,"トウ
tō"
1792,藤,艸,18,S,wisteria,"トウ、ふじ
tō, fuji"
1793,闘,鬥,18,S,fight,"トウ、たたか-う
tō, tataka-u"
1794,騰,馬,20,S,inflation,"トウ
tō"
1795,洞,水,9,S,den,"ドウ、ほら
dō, hora"
1796,胴,肉,10,S,trunk,"ドウ
dō"
1797,瞳,目,17,S,pupil,"ドウ、ひとみ
dō, hitomi"
1798,峠,山,9,S,mountain peak,"とうげ
tōge"
1799,匿,匸,10,S,hide,"トク
toku"
1800,督,目,13,S,coach,"トク
toku"
1801,篤,竹,16,S,fervent,"トク
toku"
1802,栃 [5],木,9,S,horse chestnut,"（とち）[6]
(tochi)"
1803,凸,凵,5,S,convex,"トツ
totsu"
1804,突,穴,8,S,stab,"トツ、つ-く
totsu, tsu-ku"
1805,屯,屮,4,S,barracks,"トン
ton"
1806,豚,豕,11,S,pork,"トン、ぶた
ton, buta"
1807,頓,頁,13,S,suddenly,"トン
ton"
1808,貪,貝,11,S,covet,"ドン、むさぼ-る
don, musabo-ru"
1809,鈍,金,12,S,dull,"ドン、にぶ-い、にぶ-る
don, nibu-i, nibu-ru"
1810,曇,日,16,S,cloudy weather,"ドン、くも-る
don, kumo-ru"
1811,丼,丶,5,S,bowl of food,"どんぶり、（どん）
donburi, (don)"
1812,那,邑,7,S,what,"ナ
na"
1813,奈,大,8,S,what,"ナ
na"
1814,梨,木,11,S,pear tree,"なし
nashi"
1815,謎 [8],言,17,S,riddle,"なぞ
nazo"
1816,鍋,金,17,S,pot,"なべ
nabe"
1817,軟,車,11,S,soft,"ナン、やわ-らか、やわ-らかい
nan, yawa-raka, yawa-rakai"
1818,尼,尸,5,S,nun,"ニ、あま
ni, ama"
1819,弐,貝,6,S,two (falsification prevention),"ニ
ni"
1820,匂,勹,4,S,scent,"にお-う
nio-u"
