,New (Shinjitai),Radical,Strokes,Grade,English meaning,Readings
113,兄,儿,5,2,older brother,"ケイ、（キョウ）、あに
kei, (kyō), ani"
114,形,彡,7,2,shape,"ケイ、ギョウ、かた、かたち
kei, gyō, kata, katachi"
115,計,言,9,2,measure,"ケイ、はか-る、はか-らう
kei, haka-ru, haka-rau"
116,元,儿,4,2,origin,"ゲン、ガン、もと
gen, gan, moto"
117,言,言,7,2,say,"ゲン、ゴン、い-う、こと
gen, gon, i-u, koto"
118,原,厂,10,2,field,"ゲン、はら
gen, hara"
119,戸,戶,4,2,door,"コ、と
ko, to"
120,古,口,5,2,old,"コ、ふる-い、ふる-す
ko, furu-i, furu-su"
121,午,十,4,2,noon,"ゴ
go"
122,後,彳,9,2,behind,"ゴ、コウ、のち、うし-ろ、あと、おく-れる
go, kō, nochi, ushi-ro, ato, oku-reru"
123,語,言,14,2,language,"ゴ、かた-る、かた-らう
go, kata-ru, kata-rau"
124,工,工,3,2,craft,"コウ、ク
kō, ku"
125,公,八,4,2,public,"コウ、おおやけ
kō, ooyake"
126,広,广,5,2,wide,"コウ、ひろ-い、ひろ-まる、ひろ-める、ひろ-がる、ひろ-げる
kō, hiro-i, hiro-maru, hiro-meru, hiro-garu, hiro-geru"
127,交,亠,6,2,mix,"コウ、まじ-わる、まじ-える、ま-じる、ま-ざる、ま-ぜる、か-う、か-わす
kō, maji-waru, maji-eru, ma-jiru, ma-zaru, ma-zeru, ka-u, ka-wasu"
128,光,儿,6,2,ray,"コウ、ひか-る、ひかり
kō, hika-ru, hikari"
129,考,老,6,2,think,"コウ、かんが-える
kō, kanga-eru"
130,行,行,6,2,go,"コウ、ギョウ、（アン）、い-く、ゆ-く、おこな-う
kō, gyō, (an), i-ku, yu-ku, okona-u"
131,高,高,10,2,"tall, expensive","コウ、たか-い、たか、たか-まる、たか-める
kō, taka-i, taka, taka-maru, taka-meru"
132,黄,黃,11,2,yellow,"コウ、オウ、き、（こ）
kō, ō, ki, (ko)"
133,合,口,6,2,fit,"ゴウ、ガッ、（カッ）、あ-う、あ-わす、あ-わせる
gō, ga', (ka'), a-u, a-wasu, a-waseru"
134,谷,谷,7,2,valley,"コク、たに
koku, tani"
135,国,囗,8,2,country,"コク、くに
koku, kuni"
136,黒,黑,11,2,black,"コク、くろ、くろ-い
koku, kuro, kuro-i"
137,今,人,4,2,now,"コン、キン、いま
kon, kin, ima"
138,才,手,3,2,genius,"サイ
sai"
139,細,糸,11,2,thin,"サイ、ほそ-い、ほそ-る、こま-か、こま-かい
sai, hoso-i, hoso-ru, koma-ka, koma-kai"
140,作,人,7,2,make,"サク、サ、つく-る
saku, sa, tsuku-ru"
141,算,竹,14,2,calculate,"サン
san"
142,止,止,4,2,stop,"シ、と-まる、と-める
shi, to-maru, to-meru"
143,市,巾,5,2,market,"シ、いち
shi, ichi"
144,矢,矢,5,2,arrow,"シ、や
shi, ya"
145,姉,女,8,2,older sister,"シ、あね
shi, ane"
146,思,心,9,2,think,"シ、おも-う
shi, omo-u"
147,紙,糸,10,2,paper,"シ、かみ
shi, kami"
148,寺,寸,6,2,Buddhist temple,"ジ、てら
ji, tera"
149,自,自,6,2,oneself,"ジ、シ、みずか-ら
ji, shi, mizuka-ra"
150,時,日,10,2,time,"ジ、とき
ji, toki"
151,室,宀,9,2,room,"シツ、むろ
shitsu, muro"
152,社,示,7,2,company,"シャ、やしろ
sha, yashiro"
153,弱,弓,10,2,weak,"ジャク、よわ-い、よわ-る、よわ-まる、よわ-める
jaku, yowa-i, yowa-ru, yowa-maru, yowa-meru"
154,首,首,9,2,neck,"シュ、くび
shu, kubi"
155,秋,禾,9,2,autumn,"シュウ、あき
shū, aki"
156,週,辵,11,2,week,"シュウ
shū"
157,春,日,9,2,springtime,"シュン、はる
shun, haru"
158,書,曰,10,2,write,"ショ、か-く
sho, ka-ku"
159,少,小,4,2,few,"ショウ、すく-ない、すこ-し
shō, suku-nai, suko-shi"
160,場,土,12,2,place,"ジョウ、ば
jō, ba"
161,色,色,6,2,color,"ショク、シキ、いろ
shoku, shiki, iro"
162,食,食,9,2,"eat, meal","ショク、（ジキ）、く-う、く-らう、た-べる
shoku, (jiki), ku-u, ku-rau, ta-beru"
163,心,心,4,2,heart,"シン、こころ
shin, kokoro"
164,新,斤,13,2,new,"シン、あたら-しい、あら-た、にい
shin, atara-shii, ara-ta, nii"
165,親,見,16,2,parent,"シン、おや、した-しい、した-しむ
shin, oya, shita-shii, shita-shimu"
